park_id,year,population_count
Hluhluwe iMfolozi Park,2013,710
Hluhluwe iMfolozi Park,2014,700
Hluhluwe iMfolozi Park,2015,700
Hluhluwe iMfolozi Park,2016,796
Hluhluwe iMfolozi Park,2017,761
Hluhluwe iMfolozi Park,2018,788
Hluhluwe iMfolozi Park,2019,789
Hluhluwe iMfolozi Park,2020,830
Hluhluwe iMfolozi Park,2021,1039
