Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-18 8:29:02 UTC,Every 6 hours,-25.730575°,28.219198°,(-),<10 meters,0 km/h,3.66 Volt,35°C,(-),N,"[-605,671,15768]",N,5,Y,0,Reset
2,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-18 14:32:27 UTC,Every 6 hours,-25.730575°,28.219230°,(-),10 meters,0 km/h,3.67 Volt,42°C,(-),N,"[-646,643,15832]",N,5,Y,0,UHF
3,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-18 20:34:40 UTC,Every 6 hours,-25.730573°,28.219212°,(-),10 meters,0 km/h,3.68 Volt,24°C,(-),N,"[-648,740,15717]",N,5,Y,0,
4,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-19 2:35:32 UTC,Every 6 hours,-25.730577°,28.219212°,(-),<10 meters,0 km/h,3.67 Volt,20°C,(-),N,"[-692,820,15759]",N,5,Y,1,
5,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-22 15:03:50 UTC,Every 6 hours,-24.012080°,28.391758°,(-),10 meters,76 km/h,3.67 Volt,29°C,(-),Y,"[-16194,-583,-1647]",N,2,N,2,Reset
6,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-22 21:04:19 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.67 Volt,27°C,(-),Y,"[-6143,-2711,-14276]",N,2,N,2,
7,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 3:04:25 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.67 Volt,24°C,(-),N,"[-6146,-2742,-14357]",N,5,N,2,
8,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 9:08:31 UTC,Every 6 hours,-23.876510°,28.305985°,(-),40 meters,0 km/h,3.67 Volt,26°C,(-),Y,"[-342,205,15688]",N,2,Y,0,
9,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 15:08:48 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.66 Volt,29°C,(-),N,"[-518,196,15695]",N,5,N,2,
10,African Elephant: 5375,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 21:08:53 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.66 Volt,29°C,(-),N,"[-477,140,15706]",N,5,N,2,
