Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
3561,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 11:58:02 UTC,Every 1 hour,-23.774423°,28.377255°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[1913,-1332,15213]",N,0,Y,1,
3562,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 12:58:32 UTC,Every 1 hour,-23.774847°,28.376902°,(-),<10 meters,1 km/h,3.69 Volt,42°C,(-),Y,"[1446,-1438,14669]",N,0,Y,1,
3563,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 13:58:53 UTC,Every 1 hour,-23.774663°,28.375913°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[2501,299,15144]",N,0,Y,0,
3564,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 14:58:44 UTC,Every 1 hour,-23.775287°,28.374382°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[2266,6779,13775]",N,0,Y,0,
3565,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 15:59:32 UTC,Every 1 hour,-23.778228°,28.373287°,(-),<10 meters,0 km/h,3.69 Volt,37°C,(-),Y,"[2339,-100,14884]",N,0,Y,0,
3566,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 16:59:31 UTC,Every 1 hour,-23.777028°,28.374187°,(-),10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[592,-1019,14964]",N,0,Y,0,
3567,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 18:00:09 UTC,Every 1 hour,-23.776345°,28.373492°,(-),10 meters,0 km/h,3.69 Volt,31°C,(-),Y,"[2354,-1380,15039]",N,0,Y,1,
3568,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 19:00:12 UTC,Every 1 hour,-23.775712°,28.372072°,(-),10 meters,1 km/h,3.69 Volt,30°C,(-),Y,"[1794,-1485,15297]",N,0,Y,0,
3569,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 20:00:59 UTC,Every 1 hour,-23.775403°,28.371892°,(-),10 meters,0 km/h,3.69 Volt,29°C,(-),Y,"[952,-3299,15205]",N,0,N,2,
3570,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 21:01:10 UTC,Every 1 hour,-23.775183°,28.373027°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1780,-1054,15303]",N,0,Y,0,
3571,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 22:01:08 UTC,Every 1 hour,-23.775150°,28.373012°,(-),10 meters,3 km/h,3.69 Volt,28°C,(-),Y,"[15632,-831,3295]",N,0,N,2,
3572,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-22 23:01:53 UTC,Every 1 hour,-23.774593°,28.373073°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[1970,-1244,15353]",N,0,Y,0,
3573,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 0:02:02 UTC,Every 1 hour,-23.771347°,28.369395°,(-),<10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[572,-2509,15114]",N,0,Y,1,
3574,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 1:02:00 UTC,Every 1 hour,-23.771378°,28.368485°,(-),<10 meters,0 km/h,3.69 Volt,26°C,(-),Y,"[1068,-712,15412]",N,0,Y,0,
3575,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 2:02:40 UTC,Every 1 hour,-23.769148°,28.374758°,(-),10 meters,1 km/h,3.69 Volt,26°C,(-),Y,"[531,-1672,15424]",N,0,Y,0,
3576,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 3:02:46 UTC,Every 1 hour,-23.769197°,28.375112°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[12933,1870,8827]",N,0,Y,1,
3577,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 4:03:26 UTC,Every 1 hour,-23.768833°,28.375453°,(-),<10 meters,1 km/h,3.69 Volt,28°C,(-),Y,"[2820,2497,15005]",N,0,Y,0,
3578,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 5:03:15 UTC,Every 1 hour,-23.764157°,28.376925°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[953,17,15286]",N,0,Y,0,
3579,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 6:03:41 UTC,Every 1 hour,-23.763500°,28.375005°,(-),10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[1083,-197,15412]",N,0,Y,0,
3580,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 7:04:10 UTC,Every 1 hour,-23.763330°,28.374142°,(-),10 meters,0 km/h,3.69 Volt,35°C,(-),Y,"[1635,-1036,15013]",N,0,N,2,
3581,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 8:04:32 UTC,Every 1 hour,-23.763320°,28.372680°,(-),<10 meters,0 km/h,3.69 Volt,39°C,(-),Y,"[1737,-2706,14946]",N,0,Y,0,
3582,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 9:04:25 UTC,Every 1 hour,-23.763352°,28.372083°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[968,-2629,14970]",N,0,Y,0,
3583,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 10:04:51 UTC,Every 1 hour,-23.763763°,28.370998°,(-),10 meters,0 km/h,3.69 Volt,42°C,(-),Y,"[1992,-371,15194]",N,0,Y,0,
3584,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 11:05:32 UTC,Every 1 hour,-23.764377°,28.370230°,(-),<10 meters,0 km/h,3.69 Volt,40°C,(-),Y,"[2685,79,15167]",N,0,Y,0,
3585,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 12:05:23 UTC,Every 1 hour,-23.766702°,28.367375°,(-),<10 meters,0 km/h,3.69 Volt,43°C,(-),Y,"[2181,3320,14913]",N,0,Y,0,
3586,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 13:05:44 UTC,Every 1 hour,-23.770257°,28.372615°,(-),10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[2434,-49,15132]",N,0,Y,0,
3587,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 14:06:31 UTC,Every 1 hour,-23.770213°,28.371702°,(-),<10 meters,0 km/h,3.69 Volt,41°C,(-),Y,"[4226,-1163,15136]",N,0,Y,0,
3588,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 15:06:23 UTC,Every 1 hour,-23.769952°,28.371407°,(-),10 meters,0 km/h,3.69 Volt,38°C,(-),Y,"[1196,-1421,15353]",N,0,Y,0,
3589,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 16:06:47 UTC,Every 1 hour,-23.770120°,28.368878°,(-),10 meters,0 km/h,3.69 Volt,33°C,(-),Y,"[2110,-123,15398]",N,0,Y,0,
3590,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 17:07:32 UTC,Every 1 hour,-23.769722°,28.367788°,(-),<10 meters,0 km/h,3.69 Volt,30°C,(-),Y,"[2351,-702,15167]",N,0,Y,0,
3591,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 18:07:27 UTC,Every 1 hour,-23.770725°,28.367622°,(-),10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[2079,1409,15995]",N,0,Y,0,
3592,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 19:08:10 UTC,Every 1 hour,-23.772457°,28.369000°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[882,-1036,15223]",N,0,Y,0,
3593,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 20:08:32 UTC,Every 1 hour,-23.773160°,28.369917°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[14560,-391,6032]",N,0,N,2,
3594,African Elephant EF1: 7842,AWTIRDMVAPU395,IR-SAT Tag,72,2024-03-23 21:08:40 UTC,Every 1 hour,-23.771307°,28.373232°,(-),10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[3183,408,15102]",N,0,Y,0,
