Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-18 8:29:03 UTC,Every 6 hours,-25.730590°,28.219202°,(-),10 meters,0 km/h,3.69 Volt,36°C,(-),N,"[-181,1498,15435]",N,5,Y,0,Reset
2,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-18 14:32:02 UTC,Every 6 hours,-25.730580°,28.219235°,(-),10 meters,0 km/h,3.69 Volt,40°C,(-),N,"[-148,1560,15436]",N,5,Y,1,UHF
3,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-18 20:34:03 UTC,Every 6 hours,-25.730522°,28.219207°,(-),10 meters,0 km/h,3.69 Volt,25°C,(-),N,"[-229,1667,15430]",N,5,Y,0,
4,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-19 2:35:32 UTC,Every 6 hours,-25.730548°,28.219215°,(-),<10 meters,0 km/h,3.69 Volt,21°C,(-),N,"[-213,1709,15552]",N,5,Y,1,
5,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-22 15:04:52 UTC,Every 6 hours,-24.008075°,28.401698°,(-),10 meters,48 km/h,3.69 Volt,30°C,(-),Y,"[15901,1504,3298]",N,5,N,4,Reset
6,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-22 21:05:18 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.69 Volt,28°C,(-),Y,"[1059,-11684,-10895]",N,5,N,2,
7,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 3:05:23 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.69 Volt,25°C,(-),N,"[979,-11574,-11042]",N,5,N,2,
8,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 9:05:29 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.69 Volt,27°C,(-),Y,"[-88,1482,15524]",N,1,Y,0,
9,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 15:05:34 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.69 Volt,29°C,(-),N,"[14,1476,15517]",N,5,N,2,
10,African Elephant: 5374,AWTIRDMVAPU395,IR-SAT Tag,64,2021-11-23 21:05:40 UTC,Every 6 hours,0.000000°,0.000000°,(-),<10 meters,0 km/h,3.69 Volt,30°C,(-),N,"[72,1577,15543]",N,5,N,2,
