Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-29 13:03:25 UTC,Every 6 hours,-25.730573°,28.219213°,(-),10 meters,0 km/h,3.67 Volt,39°C,(-),N,"[3457,474,-15805]",N,5,N,0,UHF
2,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-29 13:17:32 UTC,Every 6 hours,-25.730598°,28.219227°,(-),10 meters,0 km/h,3.67 Volt,41°C,(-),N,"[3420,502,-15740]",N,3,N,0,UHF
3,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 0:52:02 UTC,Every 6 hours,-25.730548°,28.219237°,(-),10 meters,0 km/h,3.67 Volt,4°C,(-),N,"[3588,384,-15723]",N,5,Y,0,
4,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 6:54:12 UTC,Every 6 hours,-25.730575°,28.219228°,(-),10 meters,0 km/h,3.68 Volt,2°C,(-),N,"[3616,348,-15792]",N,5,N,0,
5,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 12:56:02 UTC,Every 6 hours,-25.730552°,28.219220°,(-),10 meters,0 km/h,3.67 Volt,39°C,(-),N,"[3476,422,-15708]",N,5,Y,0,
6,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 18:59:49 UTC,Every 6 hours,-25.730545°,28.219215°,(-),10 meters,0 km/h,3.67 Volt,14°C,(-),N,"[3513,364,-15678]",N,5,N,0,
7,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 1:02:02 UTC,Every 6 hours,-25.730560°,28.219235°,(-),10 meters,0 km/h,3.68 Volt,7°C,(-),N,"[3519,338,-15741]",N,3,Y,0,
8,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 7:04:32 UTC,Every 6 hours,-25.730557°,28.219227°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[3504,345,-15787]",N,5,N,0,
9,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 13:06:56 UTC,Every 6 hours,-25.730550°,28.219247°,(-),10 meters,0 km/h,3.68 Volt,39°C,(-),N,"[3447,443,-15628]",N,5,Y,0,
10,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 19:10:02 UTC,Every 6 hours,-25.730592°,28.219228°,(-),10 meters,0 km/h,3.68 Volt,14°C,(-),N,"[3583,390,-15746]",N,5,Y,0,
11,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-02 1:12:02 UTC,Every 6 hours,-25.730537°,28.219230°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[3528,375,-15718]",N,5,Y,0,
12,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-02 7:14:03 UTC,Every 6 hours,-25.730602°,28.219237°,(-),10 meters,0 km/h,3.68 Volt,4°C,(-),N,"[3475,364,-15756]",N,4,Y,0,
13,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-02 13:15:58 UTC,Every 6 hours,-25.730612°,28.219208°,(-),10 meters,0 km/h,3.67 Volt,41°C,(-),N,"[3425,531,-15653]",N,5,Y,0,
14,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-02 19:18:57 UTC,Every 6 hours,-25.730545°,28.219237°,(-),10 meters,0 km/h,3.67 Volt,15°C,(-),N,"[3602,427,-15648]",N,4,Y,0,
15,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-03 1:21:02 UTC,Every 6 hours,-25.730532°,28.219225°,(-),10 meters,0 km/h,3.68 Volt,8°C,(-),N,"[3539,373,-15608]",N,5,Y,0,
16,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-03 7:23:33 UTC,Every 6 hours,-25.730513°,28.219230°,(-),10 meters,0 km/h,3.68 Volt,6°C,(-),N,"[3536,379,-15698]",N,5,Y,0,
17,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-03 13:25:32 UTC,Every 6 hours,-25.730573°,28.219230°,(-),10 meters,0 km/h,3.67 Volt,46°C,(-),Y,"[3388,669,-15738]",N,5,Y,0,
18,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-03 19:28:19 UTC,Every 6 hours,-25.730515°,28.219242°,(-),10 meters,0 km/h,3.68 Volt,14°C,(-),Y,"[3406,410,-15648]",N,5,N,0,
19,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-04 1:30:32 UTC,Every 6 hours,-25.730557°,28.219218°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[3549,401,-15684]",N,5,Y,0,
20,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-04 7:32:42 UTC,Every 6 hours,-25.730510°,28.219220°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[3397,412,-15753]",N,4,Y,0,
21,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-04 13:34:32 UTC,Every 6 hours,-25.730562°,28.219242°,(-),10 meters,0 km/h,3.68 Volt,40°C,(-),N,"[3408,430,-15659]",N,5,Y,0,
22,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-04 19:37:02 UTC,Every 6 hours,-25.730538°,28.219215°,(-),10 meters,0 km/h,3.67 Volt,13°C,(-),N,"[3579,401,-15675]",N,5,Y,0,
23,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-05 1:39:25 UTC,Every 6 hours,-25.730552°,28.219225°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[3536,436,-15643]",N,5,Y,0,
24,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-05 7:41:02 UTC,Every 6 hours,-25.730560°,28.219252°,(-),10 meters,0 km/h,3.67 Volt,4°C,(-),N,"[3598,374,-15700]",N,5,Y,0,
25,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-05 13:43:03 UTC,Every 6 hours,-25.730593°,28.219238°,(-),10 meters,0 km/h,3.67 Volt,46°C,(-),N,"[3407,597,-15710]",N,4,N,0,
26,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-05 19:45:49 UTC,Every 6 hours,-25.730572°,28.219230°,(-),10 meters,0 km/h,3.68 Volt,18°C,(-),N,"[3447,479,-15716]",N,4,N,0,
27,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-06 1:48:02 UTC,Every 6 hours,-25.730543°,28.219215°,(-),10 meters,0 km/h,3.68 Volt,4°C,(-),N,"[3623,393,-15759]",N,4,Y,0,
28,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-06 7:50:03 UTC,Every 6 hours,-25.730552°,28.219218°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[3498,370,-15764]",N,5,Y,0,
29,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-06 13:52:02 UTC,Every 6 hours,-25.730572°,28.219230°,(-),10 meters,0 km/h,3.68 Volt,43°C,(-),N,"[3395,537,-15703]",N,5,N,0,
30,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-06 19:55:00 UTC,Every 6 hours,-25.730577°,28.219228°,(-),10 meters,0 km/h,3.67 Volt,13°C,(-),N,"[3547,421,-15776]",N,5,Y,0,
31,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-07 1:57:20 UTC,Every 6 hours,-25.730553°,28.219227°,(-),10 meters,0 km/h,3.68 Volt,4°C,(-),N,"[3487,394,-15684]",N,5,N,0,
32,African Elephant: 4065,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-07 7:59:02 UTC,Every 6 hours,-25.730595°,28.219237°,(-),10 meters,0 km/h,3.68 Volt,7°C,(-),N,"[3555,373,-15664]",N,5,Y,0,
