Index,Tag,Station,Type,SW Ver.,Time Stamp,Log Interval,Latitude,Longitude,Altitude,DOP,Speed,Battery,Temperature,Light Intensity,Movement,Accelerometer,Alarm,RSSI,Coverage,Retries,Ack Source
1,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-29 13:03:19 UTC,Every 6 hours,-25.730510°,28.219225°,(-),20 meters,0 km/h,3.68 Volt,42°C,(-),N,"[1664,-477,-15892]",N,2,N,0,UHF
2,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-29 13:06:32 UTC,Every 6 hours,-25.730575°,28.219225°,(-),10 meters,0 km/h,3.68 Volt,42°C,(-),N,"[1692,-406,-15891]",N,2,Y,0,UHF
3,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-29 18:49:26 UTC,Every 6 hours,-25.730578°,28.219237°,(-),10 meters,0 km/h,3.67 Volt,14°C,(-),N,"[1750,-526,-15814]",N,5,Y,0,
4,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 0:51:32 UTC,Every 6 hours,-25.730563°,28.219225°,(-),10 meters,0 km/h,3.67 Volt,5°C,(-),N,"[1751,-531,-15868]",N,2,Y,0,
5,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 6:53:32 UTC,Every 6 hours,-25.730570°,28.219202°,(-),10 meters,0 km/h,3.67 Volt,2°C,(-),N,"[1708,-594,-15674]",N,5,N,0,
6,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 12:55:32 UTC,Every 6 hours,-25.730545°,28.219227°,(-),10 meters,0 km/h,3.68 Volt,42°C,(-),N,"[1709,-440,-15860]",N,5,Y,0,
7,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-06-30 18:58:19 UTC,Every 6 hours,-25.730453°,28.219147°,(-),10 meters,0 km/h,3.68 Volt,14°C,(-),N,"[1620,-473,-15726]",N,4,N,0,
8,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 1:00:32 UTC,Every 6 hours,-25.730558°,28.219217°,(-),10 meters,0 km/h,3.67 Volt,7°C,(-),N,"[1740,-580,-15822]",N,4,N,0,
9,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 7:02:40 UTC,Every 6 hours,-25.730522°,28.219225°,(-),10 meters,0 km/h,3.68 Volt,5°C,(-),N,"[1798,-600,-15733]",N,4,Y,0,
10,African Elephant: 4064,AWTIRDMVAPU395,IR-SAT Tag,60,2020-07-01 13:04:56 UTC,Every 6 hours,-25.730557°,28.219218°,(-),10 meters,0 km/h,3.68 Volt,41°C,(-),N,"[1666,-508,-15805]",N,5,Y,0,
