Year,Klaserie,Timbavati,Umbabat,Balule,Total APNR,Thornybush
2008,809,574,166,141,1690,
2009,549,362,187,242,1340,
2010,659,259,103,221,1242,
2011,771,384,192,304,1651,
2012,867,483,73,243,1666,
2013,555,464,30,544,1593,
2014,657,537,231,669,2094,
2015,1255,660,219,638,2772,
2016,893,908,248,581,2630,
2017,548,465,141,721,1875,328
2018,897,768,351,565,2581,716
2019,663,795,159,721,2338,
2020,832,1147,300,883,3162,437
2021,718,875,,1053,2646,368
