protected_area,park,country,connectedness,park_size,total_tracked,females_tracked,males_tracked,unknown_tracked,start_year,end_year,data_owner
Malawi-Zambia TFCA,North Luangwa NP ,Zambia,Connected,"4,712",6,6,9,,2004,2008,CERU
Malawi-Zambia TFCA,South Luangwa NP ,Zambia,Connected,"8,704",7,7,9,,2004,2010,CERU
Malawi-Zambia TFCA,Luambe NP ,Zambia,Connected,361,3,3,9,,2004,2008,CERU
Malawi-Zambia TFCA,Lukusuzi NP ,Zambia,Connected,"2,610",6,5,1,,2022,2023,CERU
Malawi-Zambia TFCA,Kasungu NP ,Zambia,Partiallly Connected ,"2,359",33,26,7,,2004,2024,CERU
Lower Zambezi-Mana Pools TFCA,Lower Zambezi NP ,Zambia,Connected,"4,143",6,6,,,2004,2006,CERU
Lower Zambezi-Mana Pools TFCA,Mana Pools NP ,Zimbabwe,Connected,"2,196",5,5,,,2004,2005,CERU
Kavango-Zambezi TFCA,Luengwe Luina NP ,Angola,Connected,"14,094",5,2,3,,2006,2010,CERU
Kavango-Zambezi TFCA,Luengwe Luina NP ,Angola,Connected,"14,094",13,6,7,,2004,2011,EWB
Kavango-Zambezi TFCA,Luengwe Luina NP ,Angola,Connected,"14,094",10,0,0,10,2024,date,EWB
Kavango-Zambezi TFCA,Luengwe Luina NP ,Angola,Connected,"14,094",5,0,0,5,2024,date,CERU
Kavango-Zambezi TFCA,Mavinga NP,Angola,Connected,"1,672",1,0,1,,2008,2008,CERU
Kavango-Zambezi TFCA,Mavinga NP,Angola,Connected,"1,672",10,0,,10,2024,2024,CERU
Kavango-Zambezi TFCA,Mavinga NP,Angola,Connected,"1,672",5,0,,5,2024,2024,EWB
Kavango-Zambezi TFCA,Khaudum NP (II),Namibia,Connected,"3,842",6,6,0,,2004,2006,CERU
Kavango-Zambezi TFCA,Khaudum NP (II),Namibia,Connected,"3,842",2,0,2,,2007,2009,EWB
Kavango-Zambezi TFCA,Bwabwata NP (II),Namibia,Connected,"4,471",7,6,1,,1993,1995,CERU
Kavango-Zambezi TFCA,Bwabwata NP (II),Namibia,Connected,"4,471",7,2,5,,2006,2009,CERU
Kavango-Zambezi TFCA,Bwabwata NP (II),Namibia,Connected,"4,471",17,7,9,1,2023,2021,EWB
Kavango-Zambezi TFCA,Nkasa Rupara NP ,Namibia,Connected,338,1,1,0,,1993,1994,CERU
Kavango-Zambezi TFCA,Nkasa Rupara NP ,Namibia,Connected,338,4,2,2,,2007,2014,CERU
Kavango-Zambezi TFCA,Nkasa Rupara NP ,Namibia,Connected,338,3,2,0,1,2003,2020,EWB
Kavango-Zambezi TFCA,Kafue NP,Zambia,Connected,"22,309",10,5,5,,2003,2005,CERU
Kavango-Zambezi TFCA,Sioma Ngwezi NP,Zambia,Connected,"4,478",1,1,0,,1993,1994,CERU
Kavango-Zambezi TFCA,Sioma Ngwezi NP,Zambia,Connected,"4,478",3,1,2,,2006,2009,CERU
Kavango-Zambezi TFCA,Sioma Ngwezi NP,Zambia,Connected,"4,478",6,3,3,,2006,2009,EWB
Kavango-Zambezi TFCA,Moremi GR,Botswana,Connected,"4,890",2,2,0,,2012,2014,CERU
Kavango-Zambezi TFCA,Moremi GR,Botswana,Connected,"4,890",19,7,7,5,2009,2021,EWB
Kavango-Zambezi TFCA,Chobe NP,Botswana,Connected,"11,000",1,1,0,,1993,1995,CERU
Kavango-Zambezi TFCA,Chobe NP,Botswana,Connected,"11,000",12,10,2,,2006,2014,CERU
Kavango-Zambezi TFCA,Chobe NP,Botswana,Connected,"11,000",57,18,19,20,2001,2021,EWB
Kavango-Zambezi TFCA,Nxai Pan NP,Botswana,Connected,"2,576",11,1,6,4,2003,2021,EWB [CNRS]
Kavango-Zambezi TFCA,Makgadikgadi NP,Botswana,Connected,"4,902",5,0,3,2,2009,2021,EWB [CNRS]
Kavango-Zambezi TFCA,Victoria Falls NP,Zimbabwe,Connected,"4,913",3,1,2,,200,2012,EWB
Kavango-Zambezi TFCA,Hwange NP,Zimbabwe,Connected,"14,651",11,5,3,3,2004,2021,EWB [CNRS]
Greater Limpopo TFCA,Gonarezhou NP,Zimbabwe,Connected,"5,053",19,5,14,,2009,2020,FZS
Greater Limpopo TFCA,Makhuya NP,South Africa,Connected,363,1,1,0,,2012,2012,CERU
Greater Limpopo TFCA,Kruger NP,South Africa,Connected,"19,927",40,37,2,1,2003,2016,CERU
Greater Limpopo TFCA,Kruger NP,South Africa,Connected,"19,927",1,0,1,,2016,2016,FZS
Greater Limpopo TFCA,Letaba PR,South Africa,Connected,249,3,3,0,,2012,2016,CERU
Greater Limpopo TFCA,Klaserie PGR,South Africa,Connected,590,3,3,0,,2012,2016,CERU
Greater Limpopo TFCA,Balule PGR,South Africa,Connected,118,2,2,0,,2012,2015,CERU
Greater Limpopo TFCA,Umbabat PGR,South Africa,Connected,145,1,1,0,,2014,2014,CERU
Greater Limpopo TFCA,Timbavati PGR,South Africa,Connected,523,2,2,0,,2013,2015,CERU
Greater Limpopo TFCA,Manyeleti GR,South Africa,Connected,173,1,1,0,,2013,2013,CERU
Greater Limpopo TFCA,Sabie Sands GR,South Africa,Connected,596,3,2,0,1,2012,2015,CERU
Greater Limpopo TFCA,Limpopo NP,Mozambique,Connected,"10,000",8,6,2,,2002,2015,CERU
Lubombo TFCA,Maputo NP,Mozambique,Insular,"1,040",5,2,3,,2000,2002,CERU
Lubombo TFCA,Tembe EP,South Africa,Insular,299,8,5,3,,2000,2002,CERU
Additional insular parks,Addo Elephant NP,South Africa,Insular,"1,640",11,6,5,,2017,2023,CERU
