individual_id,sex,source,n_obs,start_date,end_date,duration_days,duration_years,mean_interval_hrs,median_interval_hrs,park_id,wdpa_pid,cluster_id,hr_mcp_area_km2,hr_locoh_area_km2,hr_diameter_km
0F08,M,EKZNW,3596,2017-10-28T12:00:00Z,2020-04-08T04:00:00Z,892.666666666667,2.44398813597992,5.95938803894298,4,,,kzn,333.486092380374,87.7744546297517,27.754895193177
1144898,U,CERU,1652,2020-12-01T15:00:00Z,2023-04-24T08:00:00Z,873.708333333333,2.39208304814054,12.7007874015748,12,Chobe,600,chobe,17082.6708499816,4944.30468542151,199.423123482184
1145028,U,CERU,1160,2020-11-30T22:00:00Z,2022-07-17T02:00:00Z,593.166666666667,1.62400182523386,12.2830025884383,12,Chobe,600,chobe,3334.04994390204,1312.40795333186,80.7310884540215
1145177,U,CERU,757,2020-12-01T02:00:00Z,2021-12-24T00:00:00Z,387.916666666667,1.06205795117499,12.3148148148148,12,Chobe,600,chobe,766.956806580906,128.060314527888,39.9096257898987
1168861,U,CERU,1617,2020-11-30T23:00:00Z,2023-03-13T13:00:00Z,832.583333333333,2.27948893451974,12.365099009901,12,Matetsi,2529,chobe,3258.78741274609,1019.52473090046,87.3408617047893
1183600,U,CERU,4241,2020-11-30T22:00:00Z,2022-12-21T11:00:00Z,750.541666666667,2.05487109285877,4.24834905660377,4,Chobe,600,chobe,3993.95908735915,693.585819827465,104.719948229209
1190825,U,CERU,6070,2020-10-29T00:01:00Z,2022-04-05T08:00:00Z,523.332638888889,1.43280667731386,2.06953094963476,2,Makgadikgadi Pans,1224,chobe,4277.64228538365,943.145871125449,118.112114658036
1401602,U,CERU,16250,2019-08-14T13:00:00Z,2024-08-21T01:00:00Z,1833.5,5.01984941820671,2.70810511416087,2,Hwange,1991,chobe,8371.79307987164,1550.90399172572,148.591881672927
1434200,U,CERU,18810,2019-08-12T13:00:00Z,2024-12-31T23:00:00Z,1968.41666666667,5.38923112023728,2.51166994523898,2,Okavango Delta,555577555,chobe,4945.81182338312,863.287982914627,96.6787046295112
1434239,U,CERU,20993,2019-08-10T13:00:00Z,2024-12-31T23:00:00Z,1970.41666666667,5.39470682181154,2.25276295731707,2,Okavango Delta,555577555,chobe,3601.94961484915,1050.04333930512,94.2801661218203
1434252_A,U,CERU,15299,2019-08-10T14:00:00Z,2021-11-23T02:30:00Z,835.520833333333,2.28753137120694,1.3107922604262,1,Okavango Delta,555577555,chobe,1843.25310265786,642.144347256177,56.1385266541294
1434252_B,U,CERU,15299,2019-08-10T14:00:00Z,2021-11-23T02:30:00Z,835.520833333333,2.28753137120694,1.3107922604262,1,Okavango Delta,555577555,chobe,595.023276498901,43.4790651085105,37.0487300850859
1434258,U,CERU,15993,2019-08-08T19:00:00Z,2024-02-14T06:00:00Z,1650.45833333333,4.5187086470454,2.47692596298149,2,Okavango Delta,555577555,chobe,9746.43051667887,1137.57816089774,148.204270502478
1434261,U,CERU,16523,2020-05-22T19:00:00Z,2024-11-02T12:00:00Z,1624.70833333333,4.44820898927675,2.36006536738894,2,Chobe,600,chobe,11755.2518896991,1605.77043405716,176.027167321776
1442046,U,CERU,10132,2019-08-29T17:00:00Z,2022-08-18T05:00:00Z,1084.5,2.96919917864476,2.56914421083802,2,Bwabwata,303692,chobe,444.597528123226,246.07527413842,28.047430501685
1442047,U,CERU,12047,2019-08-29T12:00:00Z,2023-02-27T11:00:00Z,1277.95833333333,3.49885922883869,2.54615640046488,2,Chobe,600,chobe,9000.34948129717,1426.62535975673,121.31185989093
1442053,U,CERU,17637,2019-08-29T12:00:00Z,2024-07-11T08:00:00Z,1777.83333333333,4.86744239105635,2.4193694715355,2,Chobe,600,chobe,2762.62030569736,709.31558135534,71.8353474937858
1442057,U,CERU,14198,2019-08-29T15:02:00Z,2023-08-06T19:00:00Z,1438.16527777778,3.93748193778995,2.43121551501491,2,Chobe,600,chobe,15958.1127830816,1362.39825873305,191.182850800528
2AAD,F,EKZNW,4400,2014-12-15T01:35:00Z,2017-11-16T09:04:00Z,1067.31180555556,2.92214046695566,5.82302417216034,4,,,kzn,308.295705006931,125.685525915206,25.5523728445019
