cluster_id,park_id,tree_cover_1000m_coef,initial_tree_cover,initial_canopy_height,canopy_height_900m_coef,mean_density_km2,elevation,mat,map,n_deposition,human_modification,fire_frequency,fire_frequency_sd,months_extreme_drought,mat_coef,prec_coef,sd_local_density_km2,local_density_km2,n,cv_local_density_km2,mean_density_km2_scaled
chobe,Bwabwata,0.079680840651671,0.341439094207988,0.341439094207988,3.41564712610357,0.0377951691322102,1004.88377439083,22.8221940028614,587.849181795178,269.014740410484,0.312615731257286,0.437357379408439,0.437357379408439,0.00985319377658696,0.0538890940376032,-4.02547220863314,0.0128459069504448,0.0411041955146967,4938,31.2520578242476,-0.994328518076223
chobe,Chobe,0.147737012956397,0.209472208432002,0.209472208432002,2.85544126152237,2.51128874852882,959.505870955582,23.1597769625517,522.850004456278,261.938034219845,0.036267387326346,0.136051902307244,0.136051902307244,1.4194990384918,0.0456031581413616,0.236840746251188,0.163661098173157,2.60177915972314,4891,6.29035318241895,1.77887105684412
chobe,Hwange,0.108462862915694,0.291209238713379,0.291209238713379,2.96476894611569,2.81212483193504,1006.7868898897,22.1953089205248,580.674507723106,263.359374095266,0.108871282235484,0.0480439043931655,0.0480439043931655,1.06199020322967,0.0405124356372707,2.43533755839002,0.581239141267563,2.89513488491944,8652,20.0764097139376,2.11615857017025
chobe,Khaudum,-0.222197897218757,0.133675993616894,0.133675993616894,2.53714722559988,1.11112616664396,1089.03117650672,22.4252613435818,528.486198715017,304.003932349289,0.0331973411803925,0.587825973341241,0.587825973341241,6.99556144770188,0.0526468187009496,-2.70678581295001,0.201464106288568,1.18044317413619,2528,17.0668195388561,0.20905486275896
chobe,Luengue-Luiana National Park,-0.126744918861142,0.445319564358345,0.445319564358345,4.29011762175713,0.120090167134581,1035.69487707633,22.7140426966121,675.255004572577,267.749701226223,0.128542762113484,0.588779183177941,0.588779183177941,1.40219398053342,0.0527594802714749,-4.52066534123584,0.0292933994406071,0.124424431528339,20264,23.5431249962635,-0.902062075430386
chobe,Makgadikgadi Pans,0.00626037548370683,0.00238396542451609,0.00238396542451609,1.08663438508286,0.147632379648678,905.394334122252,22.8440100144822,426.194280103335,237.620340536909,0.0660316267440872,0.00655344529574145,0.00655344529574145,0,0.0324324021294717,4.91809936874183,0.0265445382242764,0.162825697139806,1197,16.3024256555061,-0.871182653436862
chobe,Moremi,-0.320837574672222,0.270738422230968,0.270738422230968,2.88815623619192,1.70711443371765,950.719846129537,23.3266649408394,469.255263249371,257.912246851652,0.0486081304993181,0.0327624023305947,0.0327624023305947,0,0.0423594806225093,-0.111934061721663,0.505835885256228,1.80738474045504,2999,27.9871725114197,0.877257288135562
chobe,Nkasa Rupara,-0.102000885778485,0.0745005705941739,0.0745005705941739,2.53353740077421,3.62649800329051,943.344593829419,23.25,529.522662794734,273.431884765625,0.094829358654209,0.1487510690805,0.1487510690805,0,0.0497652551327261,-1.59693521025522,1.5497588823255,3.78404600171621,166,40.9550751133212,3.02920696109449
chobe,Nxai Pan,0.270191362324094,0.0373773162280888,0.0373773162280888,2.17032045772319,0.169436761022222,934.565729496767,23.3320570606979,439.534693262921,246.021964463372,0.0467582113507839,0.0469664418306409,0.0469664418306409,0,0.0390431135742798,1.29833175010836,0.0315545023986127,0.164824524178769,853,19.1443006165688,-0.846736298831299
chobe,Sioma Ngwezi,-1.15941375986294,0.446186179793605,0.446186179793605,3.89950436400278,0.163072551323963,1002.75534828356,22.9427668737204,679.066829679103,270.932541196345,0.0815978202357288,0.651439780864254,0.651439780864254,1.11177144557151,0.0541650199143069,-4.84406181067904,0.0249222859387253,0.169008653012172,3326,14.7461597347506,-0.853871641238058
kzn,Hluhluwe – iMfolozi Park,3.80399302814704,0.289028320804238,0.289028320804238,2.43763000450134,0.706894406407406,169.590225665283,21.7557595489502,801.543457519531,372.759187011719,0.0431091521054506,0.0979197881421238,0.0979197881421238,1.61009746360779,0.00358097818208094,11.0847030970776,0.248809085572954,0.810478480606286,625,30.699036621778,-0.244156479690038
kzn,Itala Nature Reserve,1.94404192888439,0.378815546304212,0.378815546304212,2.33808249444818,0.491239467243185,740.604482219447,18.6084361962937,776.524554842082,524.297241210938,0.0266549269593878,0.084214726080552,0.084214726080552,0,0.0218912140030512,4.31547037143915,0.241083044961802,0.636848614094907,199,37.8556284219022,-0.485941698217098
kzn,Maputo,0.178618771703769,0.614195348106717,0.614195348106717,2.98885274775942,0.217066870722757,24.7621243498379,22.812877250614,877.214603372445,310.719604492188,0.124418252051101,0.145814449121715,0.145814449121715,2.50987345509063,0.0176983839658461,2.25092951227773,0.0820508358053742,0.258156257223857,665,31.783399979426,-0.793334987796906
kzn,Tembe Elephant Park,1.70837250630406,0.640396949376852,0.640396949376852,2.73527531207554,0.563837333055516,81.1593558599079,22.3547517382909,746.607648334806,310.041413685633,0.084639633192666,0.0992856735510508,0.0992856735510508,2.19381501182677,0.0201911420351775,2.17288367526665,0.264688324252641,0.659145370499114,252,40.1562896591711,-0.404547360957491
limpopo,Balule Nature Reserve,1.09664385499468,0.491611180620061,0.491611180620061,2.3599436989537,2.22005028168608,402.942821926541,22.5802474904943,550.698622526946,658.513280797888,0.128681116495971,0.00353789170320077,0.00353789170320077,8.55110389214975,0.0228897312776944,0.605638287385578,1.52925455437053,4.26327435521061,54,35.8704232229732,1.45234407525973
limpopo,Gonarezhou,2.92262333890819,0.255093882674923,0.255093882674923,3.54040319276961,1.87340153764366,349.002223356227,23.6596424199177,512.831815899004,182.782182592625,0.14321723057739,0.089682944362917,0.089682944362917,7.21982389752643,0.0197008819522667,4.9787732037728,0.477427658981804,1.9878879635648,2137,24.0168293048896,1.06369291496053
