year,orig_name,population_count,mean_population_count,park_id,wdpa_pid,iso_3,area_km2
2005,Kasungu,58,128.833333333333,Kasungu National Park,780,MWI,2374.81644820869
2005,Luengwe Luiana,1827,2710.25,Luengue-Luiana National Park,4493,AGO,22568.4588894169
2005,Bwabwata,292,238.5,Bwabwata,303692,NAM,6310.33027437211
2005,Nkasa Rupara (Mamili NP),532,1231.33333333333,Nkasa Rupara,30052,NAM,339.537849522067
2005,Sioma Ngwezi,385,734.333333333333,Sioma Ngwezi,1087,ZMB,4503.10814034236
2005,Venetia Limpopo,61,78,Venetia Limpopo,,,
2005,Makhuya,39,82.5,Makhuya,,,
2005,Kruger,12467,13544,Kruger National Park,873,ZAF,19254.930289525
2005,Klaserie,405,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2005,Balule,304,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2005,Timbavati,416,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2005,Tembe,167,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2005,Pongola,48,74.4,Pongola,,,
2005,uMkhuze,37,61.6666666666667,uMkhuze,,,
2005,iSimangaliso,45,48,iSimangaliso Wetland Park,198302,ZAF,3228.81320126954
2005,Pilanesberg,136,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2005,Madikwe,446,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2006,Kafue,2506,2930.125,Kafue,1085,ZMB,22446.8596605454
2006,Chizarira,3071,2207.6,Chizarira,1105,ZWE,1958.52237883378
2006,Matusadonha,1925,1436.66666666667,Matusadona,1107,ZWE,1430.41458263284
2006,Makhuya,54,82.5,Makhuya,,,
2006,Kruger,12428,13544,Kruger National Park,873,ZAF,19254.930289525
2006,Letaba,1,157.5,Letaba Ranch Nature Reserve,555571052,ZAF,250.22099954455
2006,Klaserie,472,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2006,Balule,482,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2006,Umbabat,104,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2006,Timbavati,695,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2006,Manyeleti,71,222.2,Manyeleti Nature Reserve,9072,ZAF,215.326576081667
2006,Sabie Sands,857,1037.71428571429,Sabie Sands Private Nature Reserve,351116,ZAF,598.304956643026
2006,Limpopo,630,821.5,Limpopo,20295,MOZ,11066.6957165025
2006,Maputo,311,226.6,Maputo,4652,MOZ,1043.9179375715
2006,Tembe,125,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2006,HIP,420,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2006,Pilanesberg,141,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2006,Madikwe,472,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2007,North Luangwa,3487,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2007,Nkasa Rupara (Mamili NP),1935,1231.33333333333,Nkasa Rupara,30052,NAM,339.537849522067
2007,Vicoria Falls /Zambezi NP,1829,3624.33333333333,Zambezi,2530,ZWE,518.335266985623
2007,Hwange,34322,41553.3333333333,Hwange,1991,ZWE,14776.4896001221
2007,Northern Tuli,619,466.142857142857,Northern Tuli,300280,BWA,752.262996069079
2007,Venetia Limpopo,68,78,Venetia Limpopo,,,
2007,Mapungubwe,98,134.857142857143,Mapungupwe National Park,308687,ZAF,153.095810209151
2007,Gonarezhou,6516,9267,Gonarezhou,1104,ZWE,4946.61705661665
2007,Makhuya,164,82.5,Makhuya,,,
2007,Kruger,13213,13544,Kruger National Park,873,ZAF,19254.930289525
2007,Klaserie,621,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2007,Balule,401,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2007,Umbabat,64,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2007,Timbavati,569,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2007,Manyeleti,104,222.2,Manyeleti Nature Reserve,9072,ZAF,215.326576081667
2007,Sabie Sands,1389,1037.71428571429,Sabie Sands Private Nature Reserve,351116,ZAF,598.304956643026
2007,Tembe,155,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2007,HIP,430,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2007,Pilanesberg,120,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2007,Madikwe,428,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2008,Kafue,2521,2930.125,Kafue,1085,ZMB,22446.8596605454
2008,Sioma Ngwezi,2389,734.333333333333,Sioma Ngwezi,1087,ZMB,4503.10814034236
2008,Northern Tuli,477,466.142857142857,Northern Tuli,300280,BWA,752.262996069079
2008,Mapungubwe,82,134.857142857143,Mapungupwe National Park,308687,ZAF,153.095810209151
2008,Makhuya,83,82.5,Makhuya,,,
2008,Kruger,13312,13544,Kruger National Park,873,ZAF,19254.930289525
2008,Klaserie,809,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2008,Balule,141,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2008,Umbabat,166,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2008,Timbavati,596.5,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2008,Manyeleti,193,222.2,Manyeleti Nature Reserve,9072,ZAF,215.326576081667
2008,Sabie Sands,971,1037.71428571429,Sabie Sands Private Nature Reserve,351116,ZAF,598.304956643026
2008,Maputo,348,226.6,Maputo,4652,MOZ,1043.9179375715
2008,HIP,500,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2008,Pilanesberg,142,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2008,Madikwe,651,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2009,North Luangwa,3749,3577.375,North Luangwa,1088,ZMB,4707.22259796019
2009,South Luangwa,4419,4105.6,South Luangwa,1086,ZMB,8710.58598316022
2009,Luambe,148,70.3333333333333,Luambe,1100,ZMB,360.532236846815
2009,Nkasa Rupara (Mamili NP),1227,1231.33333333333,Nkasa Rupara,30052,NAM,339.537849522067
2009,Venetia Limpopo,97,78,Venetia Limpopo,,,
2009,Gonarezhou,9123,9267,Gonarezhou,1104,ZWE,4946.61705661665
2009,Makhuya,139,82.5,Makhuya,,,
2009,Kruger,13700,13544,Kruger National Park,873,ZAF,19254.930289525
2009,Klaserie,549,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488501
2009,Balule,242,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.38466604819
2009,Umbabat,199,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2009,Timbavati,350,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2009,Manyeleti,222,222.2,Manyeleti Nature Reserve,9072,ZAF,215.326576081667
2009,Sabie Sands,849,1037.71428571429,Sabie Sands Private Nature Reserve,351116,ZAF,598.304956643026
2009,Tembe,125,169.076923076923,Tembe Elephant Park,39758,ZAF,299.868265481235
2009,HIP,500,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108145
2009,Pilanesberg,146,193.176470588235,Pilanesberg National Park,9129,ZAF,504.92452823922
2009,Madikwe,637,711.705882352941,Madikwe Nature Reserve,39832,ZAF,544.949130330284
2010,Moremi,8947,8284.42857142857,Moremi,7449,BWA,4852.88414637046
2010,Chobe,29539,26523.8888888889,Chobe,600,BWA,10561.8634672844
