Area,meanCount,timeSeriesPoints,meanCountSince2014,meanCountSince2019
Addo,311.2,33,517.1,573
Balule,374.4,14,679.5,
Banhine,,0,,
Bwabwata,190.8,5,306,
Chizarira,2529,11,1104.5,1104.5
Chobe,25725.4,13,15404,
Gonarezhou,7119.4,17,10376.5,10013.5
HIP,347.4,20,796,
Hwange,29004.1,18,,
Ithala,101.6,5,172,
Kafue,3364.3,13,4326.5,3840
Kasungu,316.4,10,186,213
Khaudum,3466.1,7,6251.5,8745
Klaserie,552,20,822,
Kruger,10499.7,30,18506.5,
Letaba,86.2,5,314,
Limpopo,821.5,4,,
Lower Zambezi,752.5,4,973,
Luambe,52.8,4,,
Luengwe Luiana,2710.2,4,4324,5982
Lukusuzi,36.7,3,0,
Madikwe,609.3,22,1243.3,1498
Makgakgadi,571.8,9,1463,
Makhuya,70.8,10,81,
Mana Pools,3659,3,,
Manyeleti,164.1,7,521,
Mapungubwe,118,8,,
Maputo,266.7,15,229,
Matusadonha,1390.8,9,,
Mavinga,0,2,0,0
Moremi,7910.1,9,8402,
Nkasa Rupara (Mamili NP),556.6,10,,
North Luangwa,3516.2,13,4673,
Northern Tuli,538.7,15,,
Nxai Pan,356.1,10,510,
Pilanesberg,171,21,352.7,373
Pongola,51.3,9,84,
Sabie Sands,693.1,12,,
Sioma Ngwezi,730.4,8,300,552
South Luangwa,6781.4,16,3302,
Tembe,119.8,26,220,
Timbavati,379.7,23,640,
Umbabat,130.5,17,173,
Venetia Limpopo,72.5,6,,
Vicoria Falls /Zambezi NP,4025.2,5,,
Zinave,,0,,
iSimangaliso,48,5,102,
uMkhuze,44.4,5,120,
