park_id,year,population_count
Ithala,2001,65
Ithala,2002,70
Ithala,2003,81
Ithala,2004,79
Ithala,2005,86
Ithala,2006,69
Ithala,2007,70
Ithala,2008,91
Ithala,2009,110
Ithala,2011,119
Ithala,2013,145
Ithala,2014,154
Ithala,2015,162
Ithala,2016,172
Ithala,2017,193
Ithala,2018,182
Ithala,2019,191
Ithala,2020,234
Ithala,2021,244
Ithala,2022,251
Ithala,2023,265
