"Time","N","step_length","turning_angle","hr_locoh","hr_mcp"
"1hr",93,"0.29 (0.13-0.60)","0.00 (-0.64-0.65)","452.55 (363.20-578.35)","1580.84 (1206.30-2488.62)"
"3hrs",125,"0.80 (0.39-1.52)","0.01 (-0.80-0.82)","460.47 (349.11-590.47)","1677.49 (1174.16-2819.70)"
"12hrs",218,"2.41 (1.33-4.17)","0.01 (-1.74-1.76)","497.21 (344.39-863.38)","1894.06 (1132.23-4848.60)"
