term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,slope_range,season
evi_mean,0.195379936794203,0.0543543173468706,3.59456150552596,0.000324938378942714,EM0136,M,1173,12903,0.0888454747943364,0.301914398794069,2708.29604742326,10.1899082753018,21.5861740724698,0.0426440903776784,0.591702283193837,1899.92700195313,27.1883869171143,46.996265411377,0.567208465188741,10.6953602777794,wet_season
distance_to_water_km,-0.0345641772717271,0.122591455163973,-0.281946055909815,0.77798487394788,EM0136,M,1173,12903,-0.274843429393115,0.205715074849661,2708.29604742326,10.1899082753018,21.5861740724698,0.0426440903776784,0.591702283193837,1899.92700195313,27.1883869171143,46.996265411377,0.567208465188741,10.6953602777794,wet_season
distance_to_settlement_km,0.323429377321137,0.229687784056285,1.40812615982172,0.159093716091618,EM0136,M,1173,12903,-0.126758679429182,0.773617434071457,2708.29604742326,10.1899082753018,21.5861740724698,0.0426440903776784,0.591702283193837,1899.92700195313,27.1883869171143,46.996265411377,0.567208465188741,10.6953602777794,wet_season
human_modification,-0.0605921420398825,0.0553276173446885,-1.09515184184413,0.273450119818558,EM0136,M,1173,12903,-0.169034272035472,0.0478499879557069,2708.29604742326,10.1899082753018,21.5861740724698,0.0426440903776784,0.591702283193837,1899.92700195313,27.1883869171143,46.996265411377,0.567208465188741,10.6953602777794,wet_season
slope,0.0243091860225732,0.0373553560816088,0.650755034150014,0.515204630993689,EM0136,M,1173,12903,-0.04890731189738,0.0975256839425265,2708.29604742326,10.1899082753018,21.5861740724698,0.0426440903776784,0.591702283193837,1899.92700195313,27.1883869171143,46.996265411377,0.567208465188741,10.6953602777794,wet_season
evi_mean,-0.166326424449585,0.043236615289888,-3.84688818341625,0.000119627531247489,EM0141,M,1529,16819,-0.251070190417765,-0.0815826584814041,2739.1135704403,9.52423945059527,24.7404026124044,0.0439982737174993,0.589024333952823,2702.27746582031,46.6421318054199,58.4734764099121,0.527984675019979,9.41403777711094,wet_season
distance_to_water_km,-0.482758142081115,0.104405894123044,-4.62385908512192,3.76665800298732e-06,EM0141,M,1529,16819,-0.687393694562282,-0.278122589599949,2739.1135704403,9.52423945059527,24.7404026124044,0.0439982737174993,0.589024333952823,2702.27746582031,46.6421318054199,58.4734764099121,0.527984675019979,9.41403777711094,wet_season
distance_to_settlement_km,-0.116810105014128,0.214471455505142,-0.544641732108391,0.585999946819389,EM0141,M,1529,16819,-0.537174157804206,0.30355394777595,2739.1135704403,9.52423945059527,24.7404026124044,0.0439982737174993,0.589024333952823,2702.27746582031,46.6421318054199,58.4734764099121,0.527984675019979,9.41403777711094,wet_season
human_modification,-0.241394227381427,0.0625718251118979,-3.85787416220862,0.000114377505492867,EM0141,M,1529,16819,-0.364035004600747,-0.118753450162107,2739.1135704403,9.52423945059527,24.7404026124044,0.0439982737174993,0.589024333952823,2702.27746582031,46.6421318054199,58.4734764099121,0.527984675019979,9.41403777711094,wet_season
slope,-0.0199671058855465,0.0321736115892527,-0.620605051756649,0.534859515001781,EM0141,M,1529,16819,-0.0830273846004817,0.0430931728293888,2739.1135704403,9.52423945059527,24.7404026124044,0.0439982737174993,0.589024333952823,2702.27746582031,46.6421318054199,58.4734764099121,0.527984675019979,9.41403777711094,wet_season
evi_mean,0.0130808793189879,0.0738059685788837,0.177233353492368,0.859325098051913,EM0135,M,713,7843,-0.131578819095624,0.1577405777336,2712.64178655903,17.7403465520691,27.6685976553017,0.046669094992751,0.497478129802457,1680.82958984375,45.6856423467398,50.6100711971522,0.0664106942713263,5.58656577020884,wet_season
distance_to_water_km,0.176728743931849,0.133892872497032,1.31992645042228,0.186859575476843,EM0135,M,713,7843,-0.0857012861623327,0.439158774026031,2712.64178655903,17.7403465520691,27.6685976553017,0.046669094992751,0.497478129802457,1680.82958984375,45.6856423467398,50.6100711971522,0.0664106942713263,5.58656577020884,wet_season
distance_to_settlement_km,0.336094721737127,0.131415601677525,2.55749482897667,0.0105429125464355,EM0135,M,713,7843,0.078520142449179,0.593669301025075,2712.64178655903,17.7403465520691,27.6685976553017,0.046669094992751,0.497478129802457,1680.82958984375,45.6856423467398,50.6100711971522,0.0664106942713263,5.58656577020884,wet_season
human_modification,0.0170834758295841,0.0989796468817356,0.172595845386234,0.862969117790086,EM0135,M,713,7843,-0.176916632058618,0.211083583717786,2712.64178655903,17.7403465520691,27.6685976553017,0.046669094992751,0.497478129802457,1680.82958984375,45.6856423467398,50.6100711971522,0.0664106942713263,5.58656577020884,wet_season
slope,0.115594544688856,0.0394696488041787,2.92869453342129,0.00340388758200206,EM0135,M,713,7843,0.0382340330326659,0.192955056345046,2712.64178655903,17.7403465520691,27.6685976553017,0.046669094992751,0.497478129802457,1680.82958984375,45.6856423467398,50.6100711971522,0.0664106942713263,5.58656577020884,wet_season
evi_mean,0.134218700454202,0.0375645973413792,3.57301049268411,0.000352900614692035,EM0140,M,1772,19492,0.0605920896650984,0.207845311243305,2644.3545635434,16.4055438529495,14.4912843498784,0.04790144745301,0.520429195806957,1970.74487304687,73.0344161987305,40.0202522277832,0.0261619836091995,3.28114936454222,wet_season
distance_to_water_km,-0.225682840785635,0.254622255489764,-0.886343734374418,0.37543232882972,EM0140,M,1772,19492,-0.724742461545573,0.273376779974303,2644.3545635434,16.4055438529495,14.4912843498784,0.04790144745301,0.520429195806957,1970.74487304687,73.0344161987305,40.0202522277832,0.0261619836091995,3.28114936454222,wet_season
distance_to_settlement_km,0.161918621510087,0.126853141066892,1.27642579559543,0.201805042376165,EM0140,M,1772,19492,-0.0867135349810221,0.410550778001196,2644.3545635434,16.4055438529495,14.4912843498784,0.04790144745301,0.520429195806957,1970.74487304687,73.0344161987305,40.0202522277832,0.0261619836091995,3.28114936454222,wet_season
human_modification,-0.0119867666881776,0.0312673292455126,-0.383363944968145,0.701449932736213,EM0140,M,1772,19492,-0.0732707320093823,0.0492971986330272,2644.3545635434,16.4055438529495,14.4912843498784,0.04790144745301,0.520429195806957,1970.74487304687,73.0344161987305,40.0202522277832,0.0261619836091995,3.28114936454222,wet_season
slope,0.0218084445619723,0.0267029191110937,0.81670638596632,0.414096241031161,EM0140,M,1772,19492,-0.0305292768957714,0.074146166019716,2644.3545635434,16.4055438529495,14.4912843498784,0.04790144745301,0.520429195806957,1970.74487304687,73.0344161987305,40.0202522277832,0.0261619836091995,3.28114936454222,wet_season
evi_mean,0.0415607871720977,0.0475352909139917,0.874314354093173,0.381947084399178,EF0143,F,2020,22220,-0.051608383019326,0.134729957363521,2850.20297684005,13.4225599499715,26.9245717539243,0.0445621912878151,0.467567350067664,1472.22253417969,40.2902030944824,56.1974334716797,0.473357796669006,4.43378090206534,wet_season
distance_to_water_km,-0.361896773945218,0.161389564893036,-2.2423802566484,0.0249368067128324,EF0143,F,2020,22220,-0.678220321135568,-0.0455732267548688,2850.20297684005,13.4225599499715,26.9245717539243,0.0445621912878151,0.467567350067664,1472.22253417969,40.2902030944824,56.1974334716797,0.473357796669006,4.43378090206534,wet_season
distance_to_settlement_km,-0.215764659236317,0.197243261398589,-1.09390129582323,0.273998270385799,EF0143,F,2020,22220,-0.60236145157755,0.170832133104917,2850.20297684005,13.4225599499715,26.9245717539243,0.0445621912878151,0.467567350067664,1472.22253417969,40.2902030944824,56.1974334716797,0.473357796669006,4.43378090206534,wet_season
human_modification,-0.00695374502839158,0.0423363991044448,-0.164249798648122,0.869534499741772,EF0143,F,2020,22220,-0.0899330872731034,0.0760255972163202,2850.20297684005,13.4225599499715,26.9245717539243,0.0445621912878151,0.467567350067664,1472.22253417969,40.2902030944824,56.1974334716797,0.473357796669006,4.43378090206534,wet_season
slope,-0.00696944392026884,0.0251876094371273,-0.27670128591067,0.782009484397571,EF0143,F,2020,22220,-0.0563371584170383,0.0423982705765007,2850.20297684005,13.4225599499715,26.9245717539243,0.0445621912878151,0.467567350067664,1472.22253417969,40.2902030944824,56.1974334716797,0.473357796669006,4.43378090206534,wet_season
evi_mean,-0.0334196285566138,0.0357589539074853,-0.934580710696299,0.350004423635894,EF0142,F,3139,34529,-0.103507178215285,0.0366679211020573,2863.00177461365,12.5537180671271,26.6425277566861,0.0433659308862064,0.443066472978679,1289.66210937501,38.5488739013672,58.1777908205986,0.354736324399709,6.54438573960215,wet_season
distance_to_water_km,0.189593572643279,0.11134974647542,1.70268526552173,0.0886269837437153,EF0142,F,3139,34529,-0.0286519304485449,0.407839075735102,2863.00177461365,12.5537180671271,26.6425277566861,0.0433659308862064,0.443066472978679,1289.66210937501,38.5488739013672,58.1777908205986,0.354736324399709,6.54438573960215,wet_season
distance_to_settlement_km,-0.222133395330072,0.161769312788639,-1.3731491560473,0.169705982166197,EF0142,F,3139,34529,-0.539201248395804,0.0949344577356603,2863.00177461365,12.5537180671271,26.6425277566861,0.0433659308862064,0.443066472978679,1289.66210937501,38.5488739013672,58.1777908205986,0.354736324399709,6.54438573960215,wet_season
human_modification,-0.0078201272322766,0.0314109680660415,-0.248961675292363,0.803390426836006,EF0142,F,3139,34529,-0.0693856246417179,0.0537453701771647,2863.00177461365,12.5537180671271,26.6425277566861,0.0433659308862064,0.443066472978679,1289.66210937501,38.5488739013672,58.1777908205986,0.354736324399709,6.54438573960215,wet_season
slope,0.0446147933017223,0.0192253432294301,2.3206240205598,0.020307144622972,EF0142,F,3139,34529,0.00693312057203929,0.0822964660314053,2863.00177461365,12.5537180671271,26.6425277566861,0.0433659308862064,0.443066472978679,1289.66210937501,38.5488739013672,58.1777908205986,0.354736324399709,6.54438573960215,wet_season
evi_mean,0.180598901581179,0.0269335892415487,6.70534105059348,2.00936507618417e-11,EF0176,F,2661,29271,0.127809066667744,0.233388736494615,2908.9836129603,21.8994162186946,33.7613044088423,0.256685330312984,0.497869323220652,1361.22607421876,47.8332901000977,69.0759335160256,0.682029832154512,3.83809940563515,wet_season
distance_to_water_km,0.175863382439295,0.0839496779791847,2.09486667099427,0.0361828463647287,EF0176,F,2661,29271,0.0113220136000932,0.340404751278497,2908.9836129603,21.8994162186946,33.7613044088423,0.256685330312984,0.497869323220652,1361.22607421876,47.8332901000977,69.0759335160256,0.682029832154512,3.83809940563515,wet_season
