term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,mesh_id,n_vertices,aic,sanity_checks,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response,clean_term
(Intercept),1.25667349455604,1.66288121493539,-2.00251379728554,4.51586078639761,non-significant,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.204781004991666,0.00703604494405283,0.190990610307717,0.218571399675614,positive,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,Local Elephant Density
density_trend_estimate_scaled,-0.0183022782606526,0.00439811039674874,-0.0269224162383113,-0.0096821402829939,negative,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,Elephant Density Trend
months_severe_drought_scaled,-0.156112764156774,0.00697324866095327,-0.169780080387485,-0.142445447926064,negative,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0522648808677887,0.00257323597075521,-0.0573083306941919,-0.0472214310413855,negative,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.063979082567386,0.01276259839152,0.038964849370858,0.0889933157639139,positive,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.163665200067791,0.00963917632285169,-0.182557638501212,-0.14477276163437,negative,20,150,mesh_30,941,6478629.2156972,TRUE,tree_cover_100m_coef,-3237749.22573558,1658064,-1.95272874010628,tree_cover_100m_coef_mesh_30_100m_local_density,builds/models/tree_cover_100m_coef_mesh_30_100m_local_density.Rds,Woody Cover Trend,Nitrogen deposition
(Intercept),0.931893824300163,1.35622733425141,-1.72626290568136,3.59005055428169,non-significant,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.204866675222867,0.00703594579852838,0.191076474860575,0.218656875585158,positive,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,Local Elephant Density
density_trend_estimate_scaled,-0.0183106734495292,0.00439797547919601,-0.0269305469936437,-0.00969079990541478,negative,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,Elephant Density Trend
months_severe_drought_scaled,-0.155972261759399,0.00697301881044621,-0.169639127491393,-0.142305396027404,negative,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0523224292886576,0.00257318611756646,-0.0573657814046063,-0.0472790771727089,negative,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0647855863422775,0.0127641027382161,0.0397684046804048,0.0898027680041501,positive,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.163518532543546,0.0096372807096509,-0.182407255643365,-0.144629809443728,negative,20,100,mesh_29,1230,6478605.34163356,TRUE,tree_cover_100m_coef,-3237745.72108769,1658064,-1.95272662640748,tree_cover_100m_coef_mesh_29_100m_local_density,builds/models/tree_cover_100m_coef_mesh_29_100m_local_density.Rds,Woody Cover Trend,Nitrogen deposition
(Intercept),1.66680572464352,0.907533662774446,-0.111927569152113,3.44553901843915,non-significant,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.204333008779825,0.00701917860717279,0.190575671508713,0.218090346050938,positive,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,Local Elephant Density
density_trend_estimate_scaled,-0.0162657862877237,0.00436258190808605,-0.0248162897071783,-0.00771528286826899,negative,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,Elephant Density Trend
months_severe_drought_scaled,-0.185846061381624,0.00704527060890608,-0.199654538036419,-0.17203758472683,negative,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.046726936929585,0.00257036238119001,-0.0517647546239341,-0.041689119235236,negative,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0581692796408213,0.0130501299794466,0.0325914948875395,0.083747064394103,positive,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.150943662963943,0.00969222849677214,-0.169940081747549,-0.131947244180337,negative,20,50,mesh_28,3037,6474678.59301171,TRUE,tree_cover_100m_coef,-3235699.08150114,1658064,-1.95149227140879,tree_cover_100m_coef_mesh_28_100m_local_density,builds/models/tree_cover_100m_coef_mesh_28_100m_local_density.Rds,Woody Cover Trend,Nitrogen deposition
(Intercept),0.264278475224238,1.64093343964096,-2.95189196749948,3.48044891794796,non-significant,18,150,mesh_27,1090,6465865.13463788,TRUE,tree_cover_100m_coef,-3231107.62544973,1658064,-1.94872310444575,tree_cover_100m_coef_mesh_27_100m_local_density,builds/models/tree_cover_100m_coef_mesh_27_100m_local_density.Rds,Woody Cover Trend,(Intercept)
