term,estimate,std_error,statistic,p_value,season,r_sq,individual_id,sex,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,slope_range
evi_mean,-0.112077313832124,0.02669735293705,-4.19806840387482,2.69201324602037e-05,whole_year,0.234984729765554,ele9,F,1497,-0.164404125588742,-0.0597505020755063,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
distance_to_water_km,0.293221303749774,0.0432339484711427,6.7822004262574,1.18359113587685e-11,whole_year,0.234984729765554,ele9,F,1497,0.208482764746335,0.377959842753214,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
distance_to_settlement_km,-0.499663910833863,0.0432684486320368,-11.547996903774,7.55610024881685e-31,whole_year,0.234984729765554,ele9,F,1497,-0.584470070152655,-0.414857751515071,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
human_modification,0.00549954676538275,0.0289286220493092,0.190107456760599,0.849224926989264,whole_year,0.234984729765554,ele9,F,1497,-0.0512005524512632,0.0621996459820287,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
slope,0.12817211161867,0.0229950910087234,5.57389016508117,2.49112828349311e-08,whole_year,0.234984729765554,ele9,F,1497,0.0831017332415722,0.173242489995768,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
evi_mean,0.362444098644866,0.0692847014335801,5.23122841183525,1.68387290288147e-07,dry_season,0.555645597864288,ele9,F,1497,0.226646083835049,0.498242113454683,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
distance_to_water_km,1.41907799776757,0.133382355120572,10.6391733485646,1.95859244947269e-26,dry_season,0.555645597864288,ele9,F,1497,1.15764858173125,1.68050741380389,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
distance_to_settlement_km,-1.6155779050174,0.127632199664449,-12.6580746023717,1.00944806651372e-36,dry_season,0.555645597864288,ele9,F,1497,-1.86573701635972,-1.36541879367508,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
human_modification,-0.417718308948476,0.0967498291248056,-4.31750952665381,1.57799599894156e-05,dry_season,0.555645597864288,ele9,F,1497,-0.607347974033095,-0.228088643863857,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
slope,0.485280607780106,0.0474996859555586,10.2165013940122,1.67269310030914e-24,dry_season,0.555645597864288,ele9,F,1497,0.392181223307211,0.578379992253001,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
evi_mean,-0.199083237363405,0.0316200620775509,-6.29610520292896,3.05217265628774e-10,wet_season,0.0889741344148181,ele9,F,1497,-0.261058559035405,-0.137107915691405,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
distance_to_water_km,0.0100914698887447,0.0497375333832431,0.202894458215022,0.839217525901262,wet_season,0.0889741344148181,ele9,F,1497,-0.0873940955424117,0.107577035319901,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
distance_to_settlement_km,-0.24045503951202,0.0503455846892725,-4.77608991922692,1.78736494328819e-06,wet_season,0.0889741344148181,ele9,F,1497,-0.339132385502994,-0.141777693521045,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
human_modification,0.0897129755728897,0.0330181915055925,2.71707720750528,0.00658612419460068,wet_season,0.0889741344148181,ele9,F,1497,0.0249973202219284,0.154428630923851,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
slope,-0.027750832576689,0.0296277386238774,-0.936650377843018,0.348938429102658,wet_season,0.0889741344148181,ele9,F,1497,-0.0858212002794888,0.0303195351261108,3094.885596225,12.3049325623469,25.6760010669928,0.117374266640258,0.531785418500324,773.1318359375,29.756581991911,57.6178750991821,0.544998969882727,2.07988412678242
evi_mean,0.0370445601510163,0.0291634334063717,1.27024001717585,0.203999147218727,whole_year,0.00370679774313935,ele8,F,1457,-0.0201157693254722,0.0942048896275048,2899.18805371496,16.2155737704563,28.2244878204702,0.0927023754577237,0.470019314834413,1450.21704101563,44.2890191227198,48.1856527328491,0.544998910278082,1.36586010456086
