term,estimate,std.error,conf.low,conf.high,sig,response,dev_explained_full,dev_explained_ele,dev_explained_spatial,cutoff,max_inner_edge,mesh_id,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),-0.00733447205990042,0.00108322119004254,-0.00945754657967441,-0.00521139754012642,negative,canopy_height_900m_coef,0.181031840755111,0.181031836873689,0.810668591114718,40,600,mesh_19,100,-212.442434690592,34,canopy_height_900m_coef_best_mesh_park_average_density,builds/models/canopy_height_900m_coef_best_mesh_park_average_density.Rds,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Canopy Height Trend,(Intercept)
smean_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.181031840755111,0.181031836873689,0.810668591114718,40,600,mesh_19,100,-212.442434690592,34,canopy_height_900m_coef_best_mesh_park_average_density,builds/models/canopy_height_900m_coef_best_mesh_park_average_density.Rds,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Canopy Height Trend,smean_density_km2_scaled
(Intercept),1.04491897612771,0.510920216258046,0.0435337532885198,2.04630419896689,positive,tree_cover_1000m_coef,0.92606535898278,0.210254548030573,0.929289858997236,80,800,mesh_8,84,98.3178669372689,34,tree_cover_1000m_coef_best_mesh_park_average_density,builds/models/tree_cover_1000m_coef_best_mesh_park_average_density.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,(Intercept)
smean_density_km2_scaled,0.04,0.18,-0.31279351721721,0.39279351721721,non-significant,tree_cover_1000m_coef,0.92606535898278,0.210254548030573,0.929289858997236,80,800,mesh_8,84,98.3178669372689,34,tree_cover_1000m_coef_best_mesh_park_average_density,builds/models/tree_cover_1000m_coef_best_mesh_park_average_density.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,smean_density_km2_scaled
