term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
mat_coef_scaled,-0.115294459435862,0.0491029626311217,-0.211534497727076,-0.019054421144647,negative,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.133426993506687,0.0560279979660601,0.0236141353673261,0.243239851646048,positive,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0216373113969473,0.034526614043757,-0.0460336086369312,0.0893082314308259,non-significant,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.142289908556164,0.012461132889932,-0.166713280226998,-0.11786653688533,negative,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0570347779178808,0.00957981587368062,-0.0758108720088199,-0.0382586838269417,negative,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,Burned Area Trend
(Intercept),0.295182435564526,0.125829419268003,0.0485613056036493,0.541803565525403,positive,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.037103114703567,0.121933197864741,-0.201881561631121,0.276087791038255,non-significant,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,Mean Elephant Density
density_km2_estimate_scaled,0.016484394666377,0.0420811243119314,-0.0659930934139614,0.0989618827467154,non-significant,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.127448692934136,0.0501968582076807,-0.225832727158253,-0.0290646587100177,negative,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.141159154756721,0.0572091688479411,0.0290312442292859,0.253287065284156,positive,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0172028647456868,0.0352977625947071,-0.0519794786747842,0.0863852081661577,non-significant,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.14331485400958,0.0125625182153258,-0.167936937266747,-0.118692770752413,negative,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0607314492127758,0.00973301061936029,-0.0798077994878678,-0.0416550989376837,negative,20,50,2989,266067.951097708,TRUE,tree_cover_coef,-1.88276251664363,Woody Cover Trend,Burned Area Trend
(Intercept),0.346110641336905,0.137523795832907,0.0765689544871686,0.615652328186641,positive,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.170201224469321,0.13100679580681,-0.08656737704202,0.426969825980663,non-significant,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,Mean Elephant Density
density_km2_estimate_scaled,-0.00412003860839288,0.0495440229937582,-0.101224539325383,0.0929844621085975,non-significant,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0590264997954259,0.0534584948420549,-0.163803224353574,0.0457502247627218,non-significant,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0440967194333545,0.0593217920220197,-0.0721718564281796,0.160365295294889,non-significant,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0233005744045303,0.0355229508938528,-0.046323129972006,0.0929242787810666,non-significant,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.144267193775305,0.0126783313721938,-0.169116266648869,-0.11941812090174,negative,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0586703727783182,0.00983906867267299,-0.0779545930181735,-0.0393861525384628,negative,18,150,938,265829.229073325,TRUE,tree_cover_coef,-1.88076400204493,Woody Cover Trend,Burned Area Trend
(Intercept),0.356627227215286,0.140382944889343,0.0814817111885023,0.631772743242071,positive,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.17849925730051,0.134532812969438,-0.0851802108584527,0.442178725459472,non-significant,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,Mean Elephant Density
density_km2_estimate_scaled,-0.00534322305412923,0.051810179810223,-0.106889309514711,0.0962028634064521,non-significant,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0611488804298334,0.0534749055238495,-0.16595776933326,0.0436600084735936,non-significant,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0434268491549048,0.0592502070757594,-0.0727014227901239,0.159555121099933,non-significant,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0238004117477194,0.035529537486238,-0.0458362021126728,0.0934370256081117,non-significant,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.143373082908491,0.0126756942923883,-0.168216987200612,-0.11852917861637,negative,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0585662920297173,0.0098388308390588,-0.0778500461242545,-0.03928253793518,negative,18,100,1261,265818.184062582,TRUE,tree_cover_coef,-1.88069890019867,Woody Cover Trend,Burned Area Trend
(Intercept),0.373319075425463,0.159316730906189,0.0610640207146741,0.685574130136252,positive,18,50,3079,265689.069448518,TRUE,tree_cover_coef,-1.87949874193619,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.171924295166634,0.151173691905024,-0.124370696377166,0.468219286710435,non-significant,18,50,3079,265689.069448518,TRUE,tree_cover_coef,-1.87949874193619,Woody Cover Trend,Mean Elephant Density
density_km2_estimate_scaled,0.00308339347688088,0.0522275966598435,-0.0992808149754968,0.105447601929259,non-significant,18,50,3079,265689.069448518,TRUE,tree_cover_coef,-1.87949874193619,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0538185339806957,0.0542653608082891,-0.160176686773014,0.0525396188116222,non-significant,18,50,3079,265689.069448518,TRUE,tree_cover_coef,-1.87949874193619,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0390551924752159,0.061078213223879,-0.0806559056836449,0.158766290634077,non-significant,18,50,3079,265689.069448518,TRUE,tree_cover_coef,-1.87949874193619,Woody Cover Trend,Precipitation Trend
