term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,sum_loglik,n,generic_r2,log_cpo_approx,clean_response,clean_term
(Intercept),1.01658470225283,1.88465455479352,-2.67727034844183,4.7104397529475,non-significant,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.235412379206251,0.0110805246713021,0.213694949920691,0.25712980849181,positive,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.0400458381057258,0.00994086254820827,0.0205621055359746,0.0595295706754771,positive,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.240658405905787,0.00941550551656288,-0.259112457614488,-0.222204354197085,negative,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0687650315012058,0.00405996289747365,-0.0767224125588231,-0.0608076504435886,negative,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.0633250044819415,0.0200504187812813,0.0240269057956847,0.102623103168198,positive,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.00720356497180225,0.0201006043288881,-0.0466000255239128,0.0321928955803083,non-significant,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.152868915483284,0.0112084592459883,-0.174837091927606,-0.130900739038962,negative,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.12930735883744,0.00845006418790463,-0.145869180312785,-0.112745537362095,negative,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.110135365991731,0.00607872071741104,0.0982212923135275,0.122049439669934,positive,20,150,941,6706560.76320719,TRUE,tree_cover_100m_coef,-3351696.8925728,1658064,-0.15796142938672,-2.02145206250953,Woody Cover Trend,Local Ele. Density:Drought Months
