"Time","season","N","step_length","turning_angle","hr_locoh","hr_mcp"
"1hr","dry_season",93,"0.26 (0.11-0.53)","0.00 (-0.62-0.63)","452.55 (363.20-578.35)","1506.90 (1174.16-2448.32)"
"1hr","wet_season",93,"0.32 (0.14-0.65)","0.00 (-0.66-0.67)","460.47 (363.20-581.66)","1677.49 (1206.30-2544.89)"
"3hrs","dry_season",125,"0.71 (0.35-1.35)","0.01 (-0.77-0.79)","452.55 (346.74-590.12)","1580.84 (1169.70-2619.02)"
"3hrs","wet_season",125,"0.87 (0.42-1.64)","0.01 (-0.82-0.84)","465.00 (349.11-595.12)","1677.49 (1174.16-3160.69)"
"12hrs","dry_season",218,"2.27 (1.26-3.87)","-0.00 (-1.76-1.76)","479.74 (344.39-845.18)","1894.06 (1132.23-4553.42)"
"12hrs","wet_season",218,"2.51 (1.38-4.38)","0.02 (-1.73-1.75)","497.21 (344.50-919.55)","1938.81 (1132.23-4896.76)"
