term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
mat_coef_scaled:prec_coef_scaled,0.0274201712373947,0.0224520328199895,-0.016585004469496,0.0714253469442855,non-significant,20,100,1166,201920.541409105,TRUE,tree_cover_1000m_coef,-1.32723684989695,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),1.06652878675738,0.405595253468432,0.271576697658863,1.86148087585591,positive,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,-0.300204755086624,0.0764718162789949,-0.450086760825817,-0.15032274934743,negative,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0697165941858189,0.0286884043653382,0.0134883548558343,0.125944833515804,positive,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.281624200673995,0.0218057803932488,-0.324362744899553,-0.238885656448438,negative,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0818179128144775,0.0102706924044232,-0.101948100023436,-0.061687725605519,negative,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.0618300503141094,0.0398267352063145,-0.0162289163120804,0.139889016940299,non-significant,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0562295430078297,0.0437314460891412,-0.0294825163187421,0.141941602334402,non-significant,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.217128392512418,0.0288692413643924,-0.273711065847621,-0.160545719177215,negative,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.24039756462712,0.039188125823324,-0.317204879862459,-0.16359024939178,negative,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,-0.0488047524585778,0.0194100827014835,-0.0868478154904294,-0.0107616894267263,negative,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.098355786439281,0.0134598368041543,0.0719749910653519,0.12473658181321,positive,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,0.00422706204305077,0.0226210546382989,-0.0401093903403277,0.0485635144264293,non-significant,20,50,2992,201493.543155073,TRUE,tree_cover_1000m_coef,-1.32402500442818,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),1.39368782983178,0.510028861682722,0.394049629857687,2.39332602980588,positive,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,-0.319247579487181,0.0709953807981873,-0.458395968920335,-0.180099190054028,negative,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0165109738818378,0.029488028308665,-0.0412844995782432,0.0743064473419187,non-significant,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.234775525265572,0.0227413581712154,-0.27934776824068,-0.190203282290465,negative,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0634836496553753,0.0104388606861446,-0.0839434406398498,-0.0430238586709008,negative,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.110430091232029,0.0417887325356479,0.028525680502582,0.192334501961476,positive,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.0535043492300152,0.0453236536404779,-0.14233707801312,0.0353283795530892,non-significant,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.1373619710545,0.0278645940456431,-0.191975571827789,-0.0827483702812097,negative,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.115326839862692,0.0375596537788999,-0.18894240854113,-0.0417112711842544,negative,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,0.0293433890646837,0.0198528294845247,-0.00956744171619946,0.068254219845567,non-significant,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.106500865666771,0.0135439277673626,0.0799552550335286,0.133046476300014,positive,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,0.098884417941109,0.0224861874769947,0.0548123003365838,0.142956535545634,positive,18,150,969,199485.400177029,TRUE,tree_cover_1000m_coef,-1.30939692838564,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),1.38930097064082,0.50055305820747,0.408235004202795,2.37036693707884,positive,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,-0.317077581471195,0.0709809043462723,-0.456197597579971,-0.177957565362419,negative,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0167269445815012,0.0294716754855473,-0.0410364779342234,0.0744903670972258,non-significant,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.234405518798593,0.0227379988372255,-0.278971177600068,-0.189839859997117,negative,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0637530550109289,0.0104371302323159,-0.0842094543682222,-0.0432966556536356,negative,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.111477517276559,0.041777802066763,0.0295945298724607,0.193360504680658,positive,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,MAT Trend
prec_coef_scaled,-0.0530588798951621,0.0453186186363968,-0.141881740251605,0.0357639804612812,non-significant,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.136079581353912,0.0278864584154155,-0.1907360355045,-0.0814231272033235,negative,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.114797672422133,0.0375319037196016,-0.188358851983777,-0.0412364928604887,negative,18,100,1271,199475.319280041,TRUE,tree_cover_1000m_coef,-1.30936896693937,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
