"Time","Sex","N","step_length","turning_angle","hr_locoh","hr_mcp"
"1hr","F",82,"0.29 (0.13-0.59)","0.00 (-0.63-0.64)","452.55 (349.11-578.35)","1491.85 (1174.16-2448.32)"
"1hr","M",11,"0.32 (0.13-0.70)","0.01 (-0.74-0.75)","509.27 (439.46-581.66)","2168.65 (1964.96-2619.02)"
"3hrs","F",106,"0.79 (0.39-1.49)","0.01 (-0.79-0.80)","452.55 (346.74-590.12)","1494.45 (1169.70-2819.70)"
"3hrs","M",16,"0.92 (0.42-1.85)","0.03 (-0.88-0.94)","527.20 (439.46-604.77)","2443.30 (1964.96-4308.49)"
"3hrs","U",3,"0.48 (0.16-1.09)","0.06 (-1.07-1.20)","77.69 (77.69-1053.59)","1072.04 (1072.04-3611.31)"
"12hrs","F",138,"2.44 (1.39-4.12)","0.01 (-1.69-1.70)","452.55 (340.57-595.66)","1450.22 (1039.82-2626.08)"
"12hrs","M",50,"2.48 (1.31-4.45)","-0.02 (-1.85-1.84)","547.09 (323.75-1389.26)","2168.65 (1028.66-5582.31)"
"12hrs","U",30,"2.22 (1.16-4.05)","0.04 (-1.81-1.87)","863.38 (412.35-1312.41)","3993.96 (2762.62-9000.35)"
