term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,enerscape_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,enerscape_range,slope_range
evi_mean,0.0864540157802788,0.0358368325919203,2.41243462458706,0.0158463790094634,EF0143,F,9493,104413,0.0162138239001149,0.156694207660443,2860.71321023871,9.9506579697787,32.3964908396277,0.0413991581030032,128.037278669404,0.489094090826282,1543.50830078125,40.5104217529297,54.6202125549316,0.361210752278567,260.81778717041,20.9558854250935
distance_to_water_km,-0.990547307812036,0.20483431773777,-4.83584644776243,1.32580240324151e-06,EF0143,F,9493,104413,-1.39202257057806,-0.589072045046007,2860.71321023871,9.9506579697787,32.3964908396277,0.0413991581030032,128.037278669404,0.489094090826282,1543.50830078125,40.5104217529297,54.6202125549316,0.361210752278567,260.81778717041,20.9558854250935
distance_to_settlement_km,0.048254407789327,0.325363555354769,0.148309197496664,0.882098757079929,EF0143,F,9493,104413,-0.58945816070602,0.685966976284673,2860.71321023871,9.9506579697787,32.3964908396277,0.0413991581030032,128.037278669404,0.489094090826282,1543.50830078125,40.5104217529297,54.6202125549316,0.361210752278567,260.81778717041,20.9558854250935
human_modification,0.046877241184027,0.0257529453925946,1.820267176022,0.0687183274690375,EF0143,F,9493,104413,-0.00359853178545833,0.0973530141535124,2860.71321023871,9.9506579697787,32.3964908396277,0.0413991581030032,128.037278669404,0.489094090826282,1543.50830078125,40.5104217529297,54.6202125549316,0.361210752278567,260.81778717041,20.9558854250935
enerscape,-0.0331443853577351,0.0108755705085582,-3.04759969434735,0.002306769942006,EF0143,F,9493,104413,-0.0544605035545093,-0.011828267160961,2860.71321023871,9.9506579697787,32.3964908396277,0.0413991581030032,128.037278669404,0.489094090826282,1543.50830078125,40.5104217529297,54.6202125549316,0.361210752278567,260.81778717041,20.9558854250935
slope,-0.00840324811072506,0.0127221074428483,-0.660523277961227,0.508918085424035,EF0143,F,9493,104413,-0.0333385786987076,0.0165320824772575,2860.71321023871,9.9506579697787,32.3964908396277,0.0413991581030032,128.037278669404,0.489094090826282,1543.50830078125,40.5104217529297,54.6202125549316,0.361210752278567,260.81778717041,20.9558854250935
evi_mean,-0.0308994616856571,0.0220881909892482,-1.39891318853128,0.161839017175449,EF0142,F,14799,162719,-0.0741923160245835,0.0123933926532693,2864.70071533133,11.8589299440426,27.8399490296234,0.0429954804251456,127.890538331805,0.45040199801422,1394.88696289063,38.7702407836914,59.0101661682129,0.358031328767538,286.168464660645,9.54393979301676
distance_to_water_km,0.208409742272473,0.125430668434946,1.66155330967214,0.0966023716233893,EF0142,F,14799,162719,-0.0374343678600201,0.454253852404966,2864.70071533133,11.8589299440426,27.8399490296234,0.0429954804251456,127.890538331805,0.45040199801422,1394.88696289063,38.7702407836914,59.0101661682129,0.358031328767538,286.168464660645,9.54393979301676
distance_to_settlement_km,-0.0629639680377714,0.204644322893341,-0.307675127008471,0.758329547973523,EF0142,F,14799,162719,-0.464066840908721,0.338138904833178,2864.70071533133,11.8589299440426,27.8399490296234,0.0429954804251456,127.890538331805,0.45040199801422,1394.88696289063,38.7702407836914,59.0101661682129,0.358031328767538,286.168464660645,9.54393979301676
human_modification,-0.0136748531720736,0.0168102589384398,-0.813482601437122,0.41594141760008,EF0142,F,14799,162719,-0.0466229606914156,0.0192732543472684,2864.70071533133,11.8589299440426,27.8399490296234,0.0429954804251456,127.890538331805,0.45040199801422,1394.88696289063,38.7702407836914,59.0101661682129,0.358031328767538,286.168464660645,9.54393979301676
enerscape,-0.014985952031922,0.00873025811322466,-1.7165531462605,0.0860608495325976,EF0142,F,14799,162719,-0.0320972579338424,0.00212535386999832,2864.70071533133,11.8589299440426,27.8399490296234,0.0429954804251456,127.890538331805,0.45040199801422,1394.88696289063,38.7702407836914,59.0101661682129,0.358031328767538,286.168464660645,9.54393979301676
slope,0.00889403202467686,0.00973965796127337,0.913177039690833,0.36114943752867,EF0142,F,14799,162719,-0.0101956975794189,0.0279837616287727,2864.70071533133,11.8589299440426,27.8399490296234,0.0429954804251456,127.890538331805,0.45040199801422,1394.88696289063,38.7702407836914,59.0101661682129,0.358031328767538,286.168464660645,9.54393979301676
evi_mean,0.488352031363738,0.034174302244515,14.2900366441898,2.52476563115656e-46,EF0173,F,15265,167895,0.421370398964489,0.555333663762988,2389.0663006484,9.83456824964907,10.5308660347571,0.0556160234037331,128.066207697478,0.480631331235911,1685.08654785156,28.6120376586914,38.3285026550293,0.200659163296223,105.56787109375,8.39390706107952
distance_to_water_km,0.316425961737977,0.11085335759466,2.85445536882158,0.00431106886485498,EF0173,F,15265,167895,0.0991533808524425,0.533698542623511,2389.0663006484,9.83456824964907,10.5308660347571,0.0556160234037331,128.066207697478,0.480631331235911,1685.08654785156,28.6120376586914,38.3285026550293,0.200659163296223,105.56787109375,8.39390706107952
distance_to_settlement_km,-0.968934848409802,0.165996345408555,-5.83708542513409,5.31218634236672e-09,EF0173,F,15265,167895,-1.29428768541057,-0.643582011409034,2389.0663006484,9.83456824964907,10.5308660347571,0.0556160234037331,128.066207697478,0.480631331235911,1685.08654785156,28.6120376586914,38.3285026550293,0.200659163296223,105.56787109375,8.39390706107952
human_modification,-0.0159997352236104,0.0173344500592697,-0.923002181719316,0.356006068271406,EF0173,F,15265,167895,-0.0499752573397791,0.0179757868925582,2389.0663006484,9.83456824964907,10.5308660347571,0.0556160234037331,128.066207697478,0.480631331235911,1685.08654785156,28.6120376586914,38.3285026550293,0.200659163296223,105.56787109375,8.39390706107952
enerscape,0.00556864238530987,0.00858173241154544,0.648894898868916,0.516406312146894,EF0173,F,15265,167895,-0.0112515531413192,0.0223888379119389,2389.0663006484,9.83456824964907,10.5308660347571,0.0556160234037331,128.066207697478,0.480631331235911,1685.08654785156,28.6120376586914,38.3285026550293,0.200659163296223,105.56787109375,8.39390706107952
slope,0.0333440454967449,0.0100247160282666,3.32618354502262,0.000880439313666772,EF0173,F,15265,167895,0.0136956020813423,0.0529924889121474,2389.0663006484,9.83456824964907,10.5308660347571,0.0556160234037331,128.066207697478,0.480631331235911,1685.08654785156,28.6120376586914,38.3285026550293,0.200659163296223,105.56787109375,8.39390706107952
evi_mean,0.358208023655974,0.0287596492322243,12.4552292263222,1.30974627739291e-35,EM0187,M,10916,120046,0.301839111160814,0.414576936151134,2663.55696565605,3.71128024799739,11.7723842070995,0.0795997562467408,129.414082947649,0.981503553851468,2457.33178710937,26.7844829559326,28.8723754882813,0.574726995080709,231.216331481934,13.0944910724066
